"","long","lat","order","hole","piece","id","group"
"94",17.499865,51.414421,94,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"95",17.503737,51.400368,95,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"96",17.509173,51.391427,96,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"97",17.512532,51.387459,97,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"98",17.519459,51.37331,98,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"99",17.528448,51.36745,99,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"100",17.539499,51.36609,100,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"101",17.550667,51.363826,101,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"102",17.567218,51.366124,102,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"103",17.576852,51.365798,103,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"104",17.589084,51.366299,104,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"105",17.600796,51.364681,105,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"106",17.626806,51.366035,106,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"107",17.647639,51.370126,107,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"108",17.661184,51.363929,108,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"109",17.668127,51.361577,109,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"110",17.672286,51.363343,110,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"111",17.679408,51.365654,111,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"112",17.690483,51.360175,112,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"113",17.704985,51.352741,113,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"114",17.708486,51.349953,114,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"115",17.711152,51.349281,115,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"116",17.718473,51.344718,116,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"117",17.702665,51.327914,117,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"118",17.685981,51.308658,118,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"119",17.684071,51.303849,119,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"120",17.684947,51.300293,120,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"121",17.685542,51.296512,121,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"122",17.690173,51.278892,122,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"123",17.691682,51.273327,123,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"124",17.695308,51.26173,124,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"125",17.698045,51.253468,125,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"126",17.697418,51.248748,126,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"127",17.697466,51.243205,127,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"128",17.698227,51.236546,128,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"129",17.699447,51.227967,129,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"130",17.704415,51.201515,130,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"131",17.70669,51.191357,131,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"132",17.707129,51.182373,132,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"133",17.707711,51.174592,133,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"134",17.707633,51.164017,134,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"135",17.714596,51.150201,135,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"136",17.693316,51.140827,136,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"137",17.681435,51.134151,137,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"138",17.66471,51.131443,138,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"139",17.646587,51.132054,139,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"140",17.625051,51.132446,140,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"141",17.611135,51.13248,141,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"142",17.602449,51.132836,142,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"143",17.593756,51.132394,143,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"144",17.583145,51.128857,144,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"145",17.561199,51.115521,145,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"146",17.547428,51.109664,146,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"147",17.542817,51.096974,147,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"148",17.539412,51.090827,148,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"149",17.535818,51.084372,149,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"150",17.531123,51.076797,150,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"151",17.52393,51.065034,151,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"152",17.519114,51.057103,152,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"153",17.511076,51.044221,153,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"154",17.497985,51.028629,154,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"155",17.48877,51.014095,155,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"156",17.484572,51.000523,156,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"157",17.483159,50.993241,157,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"158",17.481402,50.985077,158,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"159",17.479772,50.978812,159,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"160",17.477523,50.970069,160,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"161",17.473511,50.956714,161,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"162",17.468107,50.945076,162,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"163",17.462061,50.939597,163,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"164",17.441298,50.93444,164,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"165",17.411617,50.923832,165,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"166",17.40356,50.91674,166,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"167",17.396636,50.91013,167,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"168",17.388748,50.902001,168,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
